movieId,tmdbId,title,genres_text,avg_rating,norm_rating,rating_count
1,862.0,toy story (1995),adventure animation children comedy fantasy,3.9209302325581397,0.7602067183462533,215
2,8844.0,jumanji (1995),adventure children fantasy,3.4318181818181817,0.6515151515151515,110
3,15602.0,grumpier old men (1995),comedy romance,3.2596153846153846,0.6132478632478633,52
4,31357.0,waiting to exhale (1995),comedy drama romance,2.357142857142857,0.41269841269841273,7
5,11862.0,father of the bride part ii (1995),comedy,3.0714285714285716,0.5714285714285715,49
6,949.0,heat (1995),action crime thriller,3.946078431372549,0.7657952069716776,102
7,11860.0,sabrina (1995),comedy romance,3.185185185185185,0.5967078189300411,54
8,45325.0,tom and huck (1995),adventure children,2.875,0.5277777777777778,8
9,9091.0,sudden death (1995),action,3.125,0.5833333333333334,16
10,710.0,goldeneye (1995),action adventure thriller,3.496212121212121,0.6658249158249158,132
11,9087.0,"american president, the (1995)",comedy drama romance,3.6714285714285713,0.7047619047619047,70
12,12110.0,dracula: dead and loving it (1995),comedy horror,2.4210526315789473,0.4269005847953216,19
13,21032.0,balto (1995),adventure animation children,3.125,0.5833333333333334,8
14,10858.0,nixon (1995),drama,3.8333333333333335,0.7407407407407408,18
15,1408.0,cutthroat island (1995),action adventure romance,3.0,0.5555555555555556,13
16,524.0,casino (1995),crime drama,3.926829268292683,0.7615176151761518,82
17,4584.0,sense and sensibility (1995),drama romance,3.7761194029850746,0.7280265339966833,67
18,5.0,four rooms (1995),comedy,3.7,0.7111111111111111,20
19,9273.0,ace ventura: when nature calls (1995),comedy,2.727272727272727,0.4949494949494949,88
20,11517.0,money train (1995),action comedy crime drama thriller,2.5,0.4444444444444444,15
21,8012.0,get shorty (1995),comedy crime thriller,3.49438202247191,0.66541822721598,89
22,1710.0,copycat (1995),crime drama horror mystery thriller,3.2222222222222223,0.6049382716049383,36
23,9691.0,assassins (1995),action crime thriller,3.125,0.5833333333333334,16
24,12665.0,powder (1995),drama sci fi,3.125,0.5833333333333334,28
25,451.0,leaving las vegas (1995),drama romance,3.625,0.6944444444444444,76
26,16420.0,othello (1995),drama,3.5,0.6666666666666666,13
27,9263.0,now and then (1995),children drama,3.3333333333333335,0.6296296296296297,9
28,17015.0,persuasion (1995),drama romance,4.2272727272727275,0.8282828282828283,11
29,902.0,"city of lost children, the (cité des enfants perdus, la) (1995)",adventure drama fantasy mystery sci fi,4.0131578947368425,0.780701754385965,38
30,37557.0,shanghai triad (yao a yao yao dao waipo qiao) (1995),crime drama,3.0,0.5555555555555556,3
31,9909.0,dangerous minds (1995),drama,3.1842105263157894,0.5964912280701754,38
32,63.0,twelve monkeys (a.k.a. 12 monkeys) (1995),mystery sci fi thriller,3.983050847457627,0.7740112994350282,177
34,9598.0,babe (1995),children drama,3.65234375,0.7005208333333334,128
36,687.0,dead man walking (1995),crime drama,3.8358208955223883,0.7412935323383085,67
38,33689.0,it takes two (1995),children comedy,2.125,0.3611111111111111,4
39,9603.0,clueless (1995),comedy romance,3.293269230769231,0.6207264957264957,104
40,34615.0,"cry, the beloved country (1995)",drama,4.25,0.8333333333333334,2
41,31174.0,richard iii (1995),drama war,3.7,0.7111111111111111,15
42,11443.0,dead presidents (1995),action crime drama,3.0,0.5555555555555556,7
43,35196.0,restoration (1995),drama,3.1875,0.5972222222222222,8
44,9312.0,mortal kombat (1995),action adventure fantasy,2.5434782608695654,0.45410628019323673,46
45,577.0,to die for (1995),comedy drama thriller,3.3125,0.625,32
46,11861.0,how to make an american quilt (1995),drama romance,3.066666666666667,0.5703703703703704,15
47,807.0,seven (a.k.a. se7en) (1995),mystery thriller,3.9753694581280787,0.7723043240284619,203
48,10530.0,pocahontas (1995),animation children drama musical romance,3.1470588235294117,0.5882352941176471,68
49,8391.0,when night is falling (1995),drama romance,3.0,0.5555555555555556,1
50,629.0,"usual suspects, the (1995)",crime mystery thriller,4.237745098039215,0.8306100217864922,204
52,11448.0,mighty aphrodite (1995),comedy drama romance,3.4642857142857144,0.6587301587301587,28
53,49133.0,lamerica (1994),adventure drama,5.0,1.0,2
54,26441.0,"big green, the (1995)",children comedy,2.3333333333333335,0.40740740740740744,3
55,97406.0,georgia (1995),drama,4.0,0.7777777777777778,1
57,9089.0,home for the holidays (1995),drama,3.0625,0.5694444444444444,8
58,11010.0,"postman, the (postino, il) (1994)",comedy drama romance,4.027027027027027,0.7837837837837838,37
60,11359.0,"indian in the cupboard, the (1995)",adventure children fantasy,3.235294117647059,0.607843137254902,34
61,17182.0,eye for an eye (1996),drama thriller,3.75,0.7222222222222222,6
62,2054.0,mr. holland's opus (1995),drama,3.70625,0.7124999999999999,80
63,10607.0,don't be a menace to south central while drinking your juice in the hood (1996),comedy crime,2.7142857142857144,0.4920634920634921,7
64,19760.0,two if by sea (1996),comedy romance,2.2,0.3777777777777778,5
65,9536.0,bio-dome (1996),comedy,2.532258064516129,0.45161290322580644,31
66,11525.0,lawnmower man 2: beyond cyberspace (1996),action sci fi thriller,2.5,0.4444444444444444,9
